nombre_cientifico,nombre_comun,grupo,habitat,pais,categoria_amenaza
Azorina vidalii,Desconocido,No especificado,No especificado,PT,EN
Hydroporus guernei,Predacious diving beetle,No especificado,No especificado,PT,EN
Athous azoricus,Click beetle,No especificado,No especificado,PT,EN
Jasione lusitanica,Desconocido,No especificado,No especificado,PT,EN
Pterodroma madeira,Zino's petrel,No especificado,No especificado,PT,EN
Micrurapteryx bistrigella,Moth,No especificado,No especificado,PT,EN
Tarphius azoricus,Ironclad beetle,No especificado,No especificado,PT,EN
Tuberaria major,Desconocido,No especificado,No especificado,PT,EN
Cheirolophus massonianus,Desconocido,No especificado,No especificado,PT,EN
Trigoniophthalmus borgesi,Bristletails,No especificado,No especificado,PT,EN
Agabus godmanni,Azorean predacious diving beetle,No especificado,No especificado,PT,EN
Armeria pseudarmeria,Desconocido,No especificado,No especificado,PT,EN
Lactuca watsoniana,Desconocido,No especificado,No especificado,PT,EN
Elaphoglossum semicylindricum,Scaly tongue-fern,No especificado,No especificado,PT,EN
Argyranthemum thalassophilum,Desconocido,No especificado,No especificado,PT,EN
Bryoxiphium madeirense,Desconocido,No especificado,No especificado,PT,EN
Echinodium setigerum,Desconocido,No especificado,No especificado,PT,EN
Drouetius borgesi,Weevil,No especificado,No especificado,PT,EN
Cheilolejeunea cedercreutzii,Desconocido,No especificado,No especificado,PT,EN
Sinapidendron frutescens,Desconocido,No especificado,No especificado,PT,EN
Ephippigerida rosae,Portuguese saddle bush-cricket,No especificado,No especificado,PT,EN
Convolvulus fernandesii,Desconocido,No especificado,No especificado,PT,EN
Drouetius oceanicus,Weevil,No especificado,No especificado,PT,EN
Neomariania scriptella,Moth,No especificado,No especificado,PT,EN
Atlantocis gillerforsi,Fungus beetle,No especificado,No especificado,PT,EN
Marcetella maderensis,Desconocido,No especificado,No especificado,PT,EN
Actinella carinofausta,Desconocido,No especificado,No especificado,PT,EN
Chamaemeles coriacea,Desconocido,No especificado,No especificado,PT,EN
Achondrostoma occidentale,Desconocido,No especificado,No especificado,PT,EN
Hedenasiastrum percurrens,Desconocido,No especificado,No especificado,PT,EN
Herbertus azoricus,Desconocido,No especificado,No especificado,PT,EN
Gonepteryx maderensis,Madeiran brimstone,No especificado,No especificado,PT,EN
Discula tectiformis,Desconocido,No especificado,No especificado,PT,EN
Hystricella echinulata,Desconocido,No especificado,No especificado,PT,EN
Musschia wollastonii,Desconocido,No especificado,No especificado,PT,EN
Senecio lagascanus subsp. lusitanicus,Desconocido,No especificado,No especificado,PT,EN
Eudarcia atlantica,Moth,No especificado,No especificado,PT,EN
Metophthalmus occidentalis,Mould beetle,No especificado,No especificado,PT,EN
Prunus lusitanica subsp. azorica,Desconocido,No especificado,No especificado,PT,EN
Phloeostiba azorica,Rove beetle,No especificado,No especificado,PT,EN
Acrobolbus azoricus,Desconocido,No especificado,No especificado,PT,EN
Geomitra moniziana,Madeiran land snail,No especificado,No especificado,PT,EN
Geomitra tiarella,Desconocido,No especificado,No especificado,PT,EN
Tarphius furtadoi,Ironclad beetle,No especificado,No especificado,PT,EN
Calypogeia azorica,Desconocido,No especificado,No especificado,PT,EN
Discula pulvinata,Desconocido,No especificado,No especificado,PT,EN
Ramalina timdaliana,Desconocido,No especificado,No especificado,PT,EN
Lampadia webbiana,Desconocido,No especificado,No especificado,PT,EN
Cixius azofloresi,Tree lacehopper,No especificado,No especificado,PT,EN
Phloeosinus gillerforsi,Bark beetle,No especificado,No especificado,PT,EN
Pseudechinosoma nodosum,True weevil,No especificado,No especificado,PT,EN
Ramalina erosa,Desconocido,No especificado,No especificado,PT,EN
Serratorotula coronata,Desconocido,No especificado,No especificado,PT,EN
Vicia capreolata,Desconocido,No especificado,No especificado,PT,EN
Boettgeria crispa,Desconocido,No especificado,No especificado,PT,EN
Calacalles droueti,True weevil,No especificado,No especificado,PT,EN
Acrobolbus madeirensis,Desconocido,No especificado,No especificado,PT,EN
Breutelia azorica,Desconocido,No especificado,No especificado,PT,EN
Brachmia infuscatella,Moth,No especificado,No especificado,PT,EN
Pararge xiphia,Madeiran speckled wood,No especificado,No especificado,PT,EN
Caseolus calvus,Desconocido,No especificado,No especificado,PT,EN
Rhithrodytes agnus,Desconocido,No especificado,No especificado,PT,EN
Amphorella tuberculata,Desconocido,No especificado,No especificado,PT,EN
Leiostyla concinna,Desconocido,No especificado,No especificado,PT,EN
Narcissus willkommii,Desconocido,No especificado,No especificado,PT,EN
Bystropogon maderensis,Desconocido,No especificado,No especificado,PT,EN
Cedrorum azoricus,Desconocido,No especificado,No especificado,PT,EN
Cixius azomariae,Tree lacehopper,No especificado,No especificado,PT,EN
Bazzania azorica,Desconocido,No especificado,No especificado,PT,EN
Leptaxis minor,Desconocido,No especificado,No especificado,PT,EN
Aphrodes hamiltoni,Leafhopper,No especificado,No especificado,PT,EN
Sinapidendron sempervivifolium,Desconocido,No especificado,No especificado,PT,EN
Cixius azopicavus,Cave lacehopper,No especificado,No especificado,PT,EN
Isoplexis sceptrum,Madeira foxglove,No especificado,No especificado,PT,EN
Leptaxis caldeirarum,Desconocido,No especificado,No especificado,PT,EN
Leptaxis wollastoni,Desconocido,No especificado,No especificado,PT,EN
Geomitra watsoni,Desconocido,No especificado,No especificado,PT,EN
Squalius torgalensis,Desconocido,No especificado,No especificado,PT,EN
Cololejeunea madeirensis,Desconocido,No especificado,No especificado,PT,EN
Argyresthia minusculella,Small ermine moth,No especificado,No especificado,PT,EN
Heteroderes azoricus,Click beetle,No especificado,No especificado,PT,EN
Tarphius tornvalli,Ironclad beetle,No especificado,No especificado,PT,EN
Sideroxylon mirmulans,Desconocido,No especificado,No especificado,PT,EN
Euconnus azoricus,Ant-like stone beetle,No especificado,No especificado,PT,EN
Candidula setubalensis,Desconocido,No especificado,No especificado,PT,EN
Conocephalus chavesi,Azores cone-head,No especificado,No especificado,PT,EN
Leiostyla falknerorum,Desconocido,No especificado,No especificado,PT,EN
Ctenodecticus lusitanicus,Lusitanian pygmy wart-biter,No especificado,No especificado,PT,EN
Trechus terrabravensis,Ground-beetle,No especificado,No especificado,PT,EN
Porella inaequalis,Desconocido,No especificado,No especificado,PT,EN
Ramalina confertula,Desconocido,No especificado,No especificado,PT,EN
Drouetius azoricus,Weevil,No especificado,No especificado,PT,EN
Crotchiella brachyptera,Desconocido,No especificado,No especificado,PT,EN
Platanthera micrantha,Desconocido,No especificado,No especificado,PT,EN
Belgrandia lusitanica,Desconocido,No especificado,No especificado,PT,EN
Thamnobryum rudolphianum,Desconocido,No especificado,No especificado,PT,EN
Graphania granti,Owlet moth,No especificado,No especificado,PT,EN
Fissidens nobreganus,Desconocido,No especificado,No especificado,PT,EN
Mesiotelus maderianus,Desconocido,No especificado,No especificado,PT,EN
Trechus picoensis,Cave ground-beetle,No especificado,No especificado,PT,EN
